Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/29/2024,AQS,60370016,1,0.046,ppm,43,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/30/2024,AQS,60370016,1,0.038,ppm,35,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
1/31/2024,AQS,60370016,1,0.051,ppm,47,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
2/1/2024,AQS,60370016,1,0.036,ppm,33,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
2/2/2024,AQS,60370016,1,0.039,ppm,36,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
2/3/2024,AQS,60370016,1,0.043,ppm,40,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
2/4/2024,AQS,60370016,1,0.037,ppm,34,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
2/5/2024,AQS,60370016,1,0.034,ppm,31,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
2/6/2024,AQS,60370016,1,0.04,ppm,37,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
2/7/2024,AQS,60370016,1,0.037,ppm,34,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
2/8/2024,AQS,60370016,1,0.039,ppm,36,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
2/9/2024,AQS,60370016,1,0.039,ppm,36,Glendora,17,100,44201,Ozone,87,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.14435,-117.85036
