Date,Ozone Percent Error,CO Percent Error,PM2.5 Percent Error,PM10 Percent Error
2024-10-02,20.945579166679305,33.38601830077108,2.815673266834388,11.850787108799203
2024-10-03,8.369211061322343,8.351318220780646,11.384910247196057,18.262594122635686
2024-10-04,13.224298034222503,14.394093264499908,29.532378911972046,14.788447388815229
2024-10-05,10.915658594500668,7.95693954972974,18.878027956620205,1.2950662188055324
2024-10-06,10.811363285734457,8.181521286615716,10.533940680673194,19.519056592668807
2024-10-07,12.860866990371303,39.626340998212726,10.492216291126109,1.2338738692434248
2024-10-08,2.7522162652352704,15.645869334909518,8.496205052863646,9.086907091479608
2024-10-09,9.736699792345044,11.859374293615994,31.633883010565444,19.574111547225563
2024-10-10,13.955041925415742,1.967288355521969,28.977067847000924,10.485493053089488
2024-10-11,9.651099917400312,21.898444304414276,2.4056475698662734,3.1321995694872165
2024-10-12,5.997779133231259,17.919183073150183,5.034598913948845,26.316741575677703
2024-10-13,6.316698964847761,7.384881881755685,3.3076536171550694,28.559410650998547
2024-10-14,11.295068775540157,42.92584173532723,11.64258369613081,15.484122963218445
2024-10-15,1.4243643198693081,1.134065825713211,39.90786038696018,13.508098826688864
2024-10-16,19.053280206676487,30.572332472420726,27.942113229430216,9.791651079731603
2024-10-17,8.925466666479718,42.61224657990209,16.36989324995613,4.833187171798964
2024-10-18,3.0320899104173873,16.33739851492672,32.75189717610675,52.80760892035422
2024-10-19,8.775433019641456,3.774216878529396,46.02676852718815,30.652176307526645
2024-10-20,1.1507238093734753,19.88095969953386,30.033999615097894,1.3729837685149242
2024-10-21,8.65738889052405,9.003297191122792,36.18654019445622,9.66864758589137
2024-10-22,2.7854230206085644,17.753744923664428,22.2543027781814,9.341724583359994
2024-10-23,9.462995175025139,15.022470488181922,6.140751935638034,8.03095806075866
2024-10-24,8.627579478841026,8.96255355326388,1.1611994859334678,18.311716457308844
2024-10-25,6.332765415755934,26.405985244709317,23.534690812447323,10.11056900024414
2024-10-26,13.421402031436797,12.706731796858783,5.529034039205757,8.403186798095694
2024-10-27,13.37345967154285,28.371232625351933,20.089636987714638,7.555765648410745
2024-10-28,49.427570145705666,59.495728863744866,46.29334643678066,13.24305534362791
2024-10-29,4.15489006342376,0.3660620839388841,43.319240195213716,19.88134828873866
2024-10-30,2.0026398681060535,5.241369822177633,24.159038157037475,6.783921879493381
2024-10-31,5.24018364113594,14.981426683049975,5.994504605351263,1.3007065345501203
2024-11-01,5.925261325282481,23.401232540901074,5.438760964267231,0.6020766038161058
